Country,Year,Score,Rank
Denmark,2024,90,1
Finland,2024,88,2
New Zealand,2024,83,4
Luxembourg,2024,81,5
Norway,2024,81,5
Switzerland,2024,81,5
Sweden,2024,80,8
Netherlands,2024,78,9
Australia,2024,77,10
Iceland,2024,77,10
Ireland,2024,77,10
Estonia,2024,76,13
Canada,2024,75,15
Germany,2024,75,15
Japan,2024,71,20
United Kingdom,2024,71,20
Belgium,2024,69,22
Austria,2024,67,25
France,2024,67,25
United States of America,2024,65,28
Israel,2024,64,30
South Korea,2024,64,30
Chile,2024,63,32
Lithuania,2024,63,32
Slovenia,2024,60,36
Latvia,2024,59,38
Costa Rica,2024,58,42
Portugal,2024,57,43
Czechia,2024,56,46
Spain,2024,56,46
Italy,2024,54,52
Poland,2024,53,53
Greece,2024,49,59
Slovakia,2024,49,59
Hungary,2024,41,82
Colombia,2024,39,92
Turkey,2024,34,107
Mexico,2024,26,140
